2024-07-24 19:55:47, Sonido continuo, En movimiento, samples_Mic2_1.mp4
2024-07-24 19:55:50, Sonido continuo, En movimiento, samples_Mic1_2.mp4
2024-07-24 19:55:57, Sonido continuo, Cercano a Mic 2, samples_Mic1_3.mp4
2024-07-24 19:56:00, Sonido continuo, Cercano a Mic 2, samples_Mic1_4.mp4
2024-07-24 19:56:10, Sonido continuo, En movimiento, samples_Mic1_5.mp4
2024-07-24 19:56:13, Sonido continuo, Cercano a Mic 2, samples_Mic1_6.mp4
2024-07-24 19:56:17, Sonido continuo, Cercano a Mic 2, samples_Mic1_7.mp4
2024-07-24 19:56:20, Sonido continuo, En movimiento, samples_Mic1_8.mp4
2024-07-24 19:56:28, Sonido continuo, En movimiento, samples_Mic2_9.mp4
