2024-07-24 19:38:18, Sonido continuo, En movimiento, samples_Mic2_1.mp4
2024-07-24 19:38:21, Sonido continuo, En movimiento, samples_Mic2_2.mp4
2024-07-24 19:38:29, Sonido continuo, En movimiento, samples_Mic1_3.mp4
2024-07-24 19:38:33, Sonido continuo, En movimiento, samples_Mic2_4.mp4
2024-07-24 19:38:44, Sonido continuo, En movimiento, samples_Mic2_5.mp4
2024-07-24 19:38:47, Sonido continuo, En movimiento, samples_Mic2_6.mp4
2024-07-24 19:38:54, Sonido continuo, En movimiento, samples_Mic2_7.mp4
2024-07-24 19:39:01, Sonido continuo, En movimiento, samples_Mic2_8.mp4
2024-07-24 19:39:04, Sonido continuo, Cercano a Mic 2, samples_Mic2_9.mp4
2024-07-24 19:39:09, Sonido puntual, En movimiento, samples_Mic1_10.mp4
